# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
2.427856	-0.219321	0.000049	0.047306	0.000252
2.432665	-0.218405	0.000049	0.047683	0.000256
2.437475	-0.217961	0.000048	0.047417	0.000234
2.442285	-0.217400	0.000047	0.047230	0.000255
2.447094	-0.218016	0.000048	0.047024	0.000244
2.451904	-0.217506	0.000051	0.047690	0.000253
2.456713	-0.216079	0.000051	0.047521	0.000246
2.461523	-0.215546	0.000050	0.046169	0.000231
2.466333	-0.215099	0.000045	0.047225	0.000249
2.471142	-0.214604	0.000047	0.046380	0.000232
2.475952	-0.214768	0.000047	0.047630	0.000247
2.480762	-0.213557	0.000045	0.046806	0.000235
2.485571	-0.213329	0.000050	0.046458	0.000241
2.490381	-0.212777	0.000046	0.046726	0.000243
2.495190	-0.212585	0.000046	0.046654	0.000238
2.500000	-0.211562	0.000046	0.046771	0.000235
